продукт;кальция на 100 г;Приблизительная биодоступность;Кальция на 100 г с поправкой на биодоступность;Сколько надо съесть продукта для дневной нормы в граммах;Сколько фактически съели в граммах;% выполнения нормы из расчета 800мг
всего выполнено от нормы в 800 мг;;;;;;22,35 %
мак;1450;20;290;87;;0,00 %
тахинная паста;960;20;192;132;;0,00 %
меласса;550;32;176;144;;0,00 %
крапива листья;700;20;140;181;;0,00 %
чиа;630;20;126;202;;0,00 %
сардины с костью консервы;380;32;121,6;208;;0,00 %
базилик;370;32;118,4;214;;0,00 %
соевый протеин;369;32;118,08;215;;0,00 %
соевое мясо;348;32;111,36;227;;0,00 %
шпроты в масле;300;32;96;264;;0,00 %
халва тахинная;424;20;84,8;299;;0,00 %
капуста кале;87;49;35,28;718;;0,00 %
кешью;290;24;69,6;364;;0,00 %
соевая мука;206;32;65,92;384;;0,00 %
тофу обогащенный;204;31;63,24;400;;0,00 %
молочный шоколад;189;32;60,48;419;;0,00 %
миндальное молоко обогащенное кальцием;188;32;60,16;421;;0,00 %
соевые бобы;240;24;57,6;440;;0,00 %
кресс-салат;180;32;57,6;440;;0,00 %
бок чой;105;54;56,7;447;;0,00 %
морская капуста;168;32;53,76;471;;0,00 %
миндаль сырой;260;20;52;487;;0,00 %
руккола;160;32;51,2;495;;0,00 %
кунжут неочищенный;720;7;50,4;503;;0,00 %
петрушка;240;20;48;528;;0,00 %
вакамэ водоросли;150;32;48;528;;0,00 %
лесной орех;225;20;45;563;;0,00 %
Желток куриного яйца;136;32;43,52;582;;0,00 %
обогащенный апельсиновый сок;140;30;42;603;;0,00 %
соевое молоко обогащенное;125;31;38,75;654;;0,00 %
молоко;120;32;38,4;660;;0,00 %
анчоусы в масле;120;32;38,4;660;;0,00 %
судак;110;32;35,2;720;;0,00 %
амарант;159;20;31,8;797;;0,00 %
пекинская капуста;77;39;30,03;844;;0,00 %
икра красная зернистая;90;32;28,8;880;;0,00 %
мясо краба;89;32;28,48;890;;0,00 %
капуста белокочанная;48;59;28,32;895;200;22,35 %
устрицы;85;32;27,2;932;;0,00 %
бобы;100;25;25;1013;;0,00 %
броколли;49;49;24,01;1055;;0,00 %
укроп;120;20;24;1056;;0,00 %
черемша;120;20;24;1056;;0,00 %
грецкий орех;90;24;21,6;1173;;0,00 %
белая фасоль;102;21;21,42;1183;;0,00 %
чечевица;80;25;20;1267;;0,00 %
креветки;60;32;19,2;1320;;0,00 %
халва подсолнечниковая;90;20;18;1408;;0,00 %
ячневая крупа;80;20;16;1584;;0,00 %
семена подсолнечника;78;20;15,6;1624;;0,00 %
ревень;145;8,5;12,33;2056;;0,00 %
кунжут очищенный;60;20;12;2112;;0,00 %
минералка кальциевая (Нарзан);30;33;9,9;2560;;0,00 %
шпинат;135;5;6,75;3755;;0,00 %
